Donor: BCN Activa,,,,,,,,
Date: 201701,,,,,,,,
Transferido a: Solidança,,,,,,,,
Found 150 of 156 devices in 17 databases,,,,,,,,
quarter,month,year, Receive,FinalUser,Live,Dispose,Recycle,Sell
Q1,1,2017,,,,,,
Q1,2,2017,,,,,,
Q1,3,2017,,,,,,
Q2,4,2017,,,,,,
Q2,5,2017,,,,,,
Q2,6,2017,,,,,,
Q3,7,2017,,,,,,
Q3,8,2017,,,,,,
Q3,9,2017,,,,,,
Q4,10,2017,30,,,,,
Q4,11,2017,,,,,,
Q4,12,2017,,,,,,
Q1,1,2018,,,,,,
Q1,2,2018,,,,,,
Q1,3,2018,2,,,2,,1
,,,,,,,,
6 not found:,,,,,,,,
6166,,,,,,,,
6453,,,,,,,,
5933,,,,,,,,
5932,,,,,,,,
6108,,,,,,,,
2779,,,,,,,,
