Found 134 of 177 devices in 17 databases,,,,,,,,,,,,,,
quarter,month,year, Snapshot,Ready,Register,Locate,Allocate,Receive,FinalUser,Alive,Recycle,Dispose,Shell,Migrate
Q1,1,2017,2,,,,,,,,,,,
Q1,2,2017,,,,,,,,,,,,
Q1,3,2017,123,,9,,,,,,,,,
Q2,4,2017,22,,4,,,,,,,,,
Q2,5,2017,1,,,,15,,,,,,,
Q2,6,2017,,,,,,,,,,,,
Q3,7,2017,1,,,,,,,,,,,
Q3,8,2017,,,,,,,,,,,,
Q3,9,2017,14,,,,1,,,,,,,
Q4,10,2017,,,,,,,,,,,,
Q4,11,2017,,,,,,,,,,,,
Q4,12,2017,1,,,,,,,,,1,,
Q1,1,2018,1,,,,,,,,,,,
Q1,2,2018,30,,,,1,,,,,,,
Q1,3,2018,,,,,,,,,,,,
,,,,,,,,,,,,,,
43 not found:,,,,,,,,,,,,,,
10271,,,,,,,,,,,,,,
10150,,,,,,,,,,,,,,
10418,,,,,,,,,,,,,,
11649,,,,,,,,,,,,,,
11652,,,,,,,,,,,,,,
10311,,,,,,,,,,,,,,
10831,,,,,,,,,,,,,,
11518,,,,,,,,,,,,,,
11505,,,,,,,,,,,,,,
10249,,,,,,,,,,,,,,
11653,,,,,,,,,,,,,,
10265,,,,,,,,,,,,,,
10183,,,,,,,,,,,,,,
10584,,,,,,,,,,,,,,
11655,,,,,,,,,,,,,,
17173,,,,,,,,,,,,,,
17341,,,,,,,,,,,,,,
17336,,,,,,,,,,,,,,
12543,,,,,,,,,,,,,,
6408,,,,,,,,,,,,,,
8984,,,,,,,,,,,,,,
SN04,,,,,,,,,,,,,,
3160,,,,,,,,,,,,,,
15736,,,,,,,,,,,,,,
16637,,,,,,,,,,,,,,
15017,,,,,,,,,,,,,,
16000,,,,,,,,,,,,,,
16576,,,,,,,,,,,,,,
15009,,,,,,,,,,,,,,
15007,,,,,,,,,,,,,,
13939,,,,,,,,,,,,,,
13929,,,,,,,,,,,,,,
15527,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
12502,,,,,,,,,,,,,,
15781,,,,,,,,,,,,,,
15780,,,,,,,,,,,,,,
15531,,,,,,,,,,,,,,
1936,,,,,,,,,,,,,,
12296,,,,,,,,,,,,,,
SN01,,,,,,,,,,,,,,
SN02,,,,,,,,,,,,,,
SN03,,,,,,,,,,,,,,
